model_id,file1,file2,cosine_similarity,matcher_similarity,model_name,cosine_similarity_pct,matcher_similarity_pct
model_2,shambu_1.wav,shambu_2.wav,0.48967158794403076,0.48967158794403076,v33_ep27,48.97%,48.97%
model_2,alexa_1.wav,alexa_2.wav,0.453984797000885,0.453984797000885,v33_ep27,45.40%,45.40%
model_2,alexa_1.wav,alexa_3.wav,0.703894317150116,0.703894317150116,v33_ep27,70.39%,70.39%
model_2,alexa_1.wav,alexa_4.wav,0.513286292552948,0.513286292552948,v33_ep27,51.33%,51.33%
model_2,alexa_1.wav,alexa_5.wav,0.6815775632858276,0.6815775632858276,v33_ep27,68.16%,68.16%
model_2,alexa_2.wav,alexa_3.wav,0.37282896041870117,0.37282896041870117,v33_ep27,37.28%,37.28%
model_2,alexa_2.wav,alexa_4.wav,0.2573644518852234,0.2573644518852234,v33_ep27,25.74%,25.74%
model_2,alexa_2.wav,alexa_5.wav,0.49243804812431335,0.49243804812431335,v33_ep27,49.24%,49.24%
model_2,alexa_3.wav,alexa_4.wav,0.36214160919189453,0.36214160919189453,v33_ep27,36.21%,36.21%
model_2,alexa_3.wav,alexa_5.wav,0.4303323030471802,0.4303323030471802,v33_ep27,43.03%,43.03%
model_2,alexa_4.wav,alexa_5.wav,0.3466185927391052,0.3466185927391052,v33_ep27,34.66%,34.66%
model_2,shiva_1.wav,shiva_2.wav,0.5348290205001831,0.5348290205001831,v33_ep27,53.48%,53.48%
model_2,munez_2.wav,munez_3.wav,0.8318121433258057,0.8318121433258057,v33_ep27,83.18%,83.18%
model_2,nigga2.wav,nigga3.wav,0.9385126829147339,0.9385126829147339,v33_ep27,93.85%,93.85%
model_2,kallan_1.wav,kallan_2.wav,0.4380115270614624,0.4380115270614624,v33_ep27,43.80%,43.80%
model_2,Skywalker_en-AU-jimm.mp3,Skywalker_en-AU-kylie.mp3,0.7952969074249268,0.7952969074249268,v33_ep27,79.53%,79.53%
model_2,Thunderbolt_en-AU-jimm.mp3,Thunderbolt_en-AU-kylie.mp3,0.8164393901824951,0.8164393901824951,v33_ep27,81.64%,81.64%
model_2,sam_1.wav,shambu_1.wav,0.4535638093948364,0.4535638093948364,v33_ep27,45.36%,45.36%
model_2,sam_2.wav,alexa_3.wav,0.03772690147161484,0.03772690147161484,v33_ep27,3.77%,3.77%
model_2,sam_1.wav,shiva_2.wav,0.21822327375411987,0.21822327375411987,v33_ep27,21.82%,21.82%
model_2,shambu_1.wav,alexa_1.wav,0.07727714627981186,0.07727714627981186,v33_ep27,7.73%,7.73%
model_2,shiva_1.wav,munez_2.wav,0.26892969012260437,0.26892969012260437,v33_ep27,26.89%,26.89%
model_2,alexa_2.wav,nigga3.wav,0.33027568459510803,0.33027568459510803,v33_ep27,33.03%,33.03%
model_2,kallan_2.wav,Eliza1.mp3,0.5142883658409119,0.5142883658409119,v33_ep27,51.43%,51.43%
model_2,Hello1.mp3,Skywalker_en-AU-jimm.mp3,0.2674332857131958,0.2674332857131958,v33_ep27,26.74%,26.74%
